effective_to_date,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
2011-02-22,63,1,5,0,1
2011-02-27,111,7,63,0,1
2011-02-21,118,14,64,0,4
2011-01-29,63,7,63,1,1
2011-02-22,77,15,12,2,2
2011-02-21,68,12,28,0,2
2011-01-10,69,33,61,1,2
2011-01-18,61,17,1,1,7
2011-01-16,82,1,57,0,2
2011-01-06,74,11,85,1,2
2011-01-27,63,20,0,0,1
2011-01-15,101,30,99,0,2
2011-01-09,73,12,4,1,2
2011-01-28,61,5,46,3,1
2011-02-26,74,23,0,0,8
2011-01-04,117,24,37,0,1
2011-02-01,112,1,48,0,1
2011-01-27,74,3,47,0,8
2011-02-14,74,3,95,0,7
2011-01-23,104,17,51,0,1
2011-02-18,115,12,17,1,2
2011-01-24,217,4,29,2,4
2011-02-18,62,28,17,0,3
2011-01-19,85,23,57,0,2
2011-01-04,110,3,16,0,1
2011-02-07,111,11,98,4,2
2011-01-30,114,26,53,0,1
2011-02-17,138,20,11,0,1
2011-01-13,76,3,17,0,1
2011-02-08,82,5,41,2,7
2011-01-29,111,12,79,1,1
2011-02-05,69,5,40,0,1
2011-01-20,70,27,34,1,1
2011-01-27,67,7,31,3,2
2011-01-09,63,6,12,0,2
2011-01-11,81,11,33,0,1
2011-02-17,255,12,1,0,1
2011-02-16,67,3,45,2,1
2011-02-10,96,12,35,1,2
2011-02-19,76,15,60,1,4
2011-01-21,150,30,28,0,3
2011-02-27,123,1,67,3,1
2011-02-04,69,4,54,0,1
2011-01-18,113,20,1,0,7
2011-02-03,63,0,54,3,7
2011-01-02,116,14,35,0,2
2011-01-09,72,16,64,0,1
2011-01-19,190,13,53,0,3
2011-01-11,116,10,0,0,3
2011-01-31,78,15,6,0,3
2011-01-11,98,12,34,0,1
2011-02-11,67,28,22,0,5
2011-01-22,95,4,69,0,2
2011-02-24,70,2,35,0,3
2011-02-28,74,7,67,0,1
2011-01-25,85,6,23,0,3
2011-02-26,159,20,71,0,1
2011-02-19,84,1,9,0,6
2011-01-02,112,12,93,0,3
2011-01-02,72,19,69,0,1
2011-01-26,74,1,72,0,3
2011-02-02,69,1,96,0,8
2011-02-27,72,9,5,0,9
2011-01-20,83,30,72,0,7
2011-01-17,103,23,53,0,2
2011-01-17,77,7,50,0,5
2011-02-24,74,2,42,0,9
2011-02-14,65,15,58,0,1
2011-02-20,114,13,72,2,9
2011-02-19,66,8,16,0,9
2011-02-08,73,18,45,0,5
2011-02-06,64,10,61,0,2
2011-02-27,90,18,70,0,2
2011-02-01,152,12,89,0,1
2011-02-23,68,19,16,0,8
2011-01-11,73,3,84,0,8
2011-02-10,63,12,30,0,2
2011-02-25,136,8,77,0,3
2011-02-16,61,18,26,0,1
2011-01-30,63,7,99,1,1
2011-02-11,66,18,42,0,3
2011-01-14,67,22,77,0,2
2011-02-14,64,13,64,0,4
2011-02-03,84,6,37,5,5
2011-01-31,91,2,8,5,1
2011-02-15,86,6,84,0,1
2011-02-27,64,4,38,0,3
2011-01-21,81,3,60,2,2
2011-01-14,245,34,83,0,1
2011-01-25,67,13,79,0,2
2011-02-02,108,13,66,0,1
2011-02-09,70,35,98,0,2
2011-02-28,109,13,13,0,8
2011-01-27,106,25,54,1,3
2011-02-19,77,21,73,0,3
2011-02-18,133,35,90,0,1
2011-02-14,135,5,64,0,4
2011-01-30,63,18,83,1,4
2011-02-09,84,2,0,2,2
2011-02-06,65,30,28,0,1
2011-02-23,62,32,59,0,2
2011-02-22,64,2,4,0,5
2011-01-16,68,28,77,0,2
2011-02-02,67,23,65,0,4
2011-02-22,83,17,83,0,6
2011-01-03,63,0,40,0,4
2011-02-27,94,28,7,0,2
2011-02-15,72,21,86,0,8
2011-01-11,86,15,56,0,3
2011-01-21,103,20,43,0,1
2011-01-26,65,8,32,0,2
2011-01-01,113,19,10,0,7
2011-02-23,103,2,27,0,1
2011-02-04,133,3,89,0,1
2011-02-06,128,6,46,4,1
2011-02-10,65,15,53,0,3
2011-01-02,111,30,1,0,5
2011-02-10,116,0,50,0,4
2011-01-19,76,33,36,2,2
2011-02-23,92,2,85,0,1
2011-01-07,89,13,45,0,5
2011-01-14,69,21,70,4,3
2011-02-15,71,27,34,1,6
2011-02-24,66,19,14,1,1
2011-02-02,108,14,79,0,3
2011-01-07,78,25,87,0,3
2011-02-28,73,23,90,0,3
2011-02-17,72,0,86,0,7
2011-02-12,114,9,72,1,5
2011-01-09,63,7,39,0,5
2011-01-10,112,33,75,1,8
2011-01-08,91,19,30,0,3
2011-01-25,225,21,35,0,8
2011-01-27,71,6,5,0,3
2011-01-12,118,17,6,0,6
2011-01-16,64,21,77,0,1
2011-01-22,110,34,49,1,2
2011-01-13,66,25,51,2,1
2011-02-11,72,0,60,0,9
2011-01-04,101,16,88,0,8
2011-01-29,67,33,27,0,1
2011-02-28,68,15,69,0,8
2011-02-04,117,17,41,1,9
2011-02-02,112,7,65,0,2
2011-01-03,80,24,95,0,1
2011-02-21,118,14,64,0,4
2011-02-01,116,0,45,0,2
2011-01-01,132,8,28,0,3
2011-02-28,111,18,63,0,1
2011-01-12,67,3,0,0,6
2011-02-13,61,5,48,1,6
2011-01-29,110,6,62,0,1
2011-02-13,73,3,19,0,6
2011-01-22,116,8,47,0,3
2011-01-25,106,10,97,2,3
2011-02-23,153,7,75,0,2
2011-02-18,121,11,20,4,1
2011-01-03,98,17,75,0,1
2011-01-09,139,16,14,0,1
2011-01-03,69,2,70,1,1
2011-02-21,110,29,42,0,1
2011-02-22,66,32,30,0,7
2011-01-09,73,14,39,1,1
2011-02-07,73,1,22,0,5
2011-02-26,80,33,31,0,2
2011-01-30,102,35,48,0,2
2011-02-28,98,24,11,1,2
2011-02-20,65,2,75,0,1
2011-01-20,68,15,65,0,1
2011-01-22,98,23,82,0,2
2011-01-06,63,1,56,0,1
2011-02-06,111,27,36,0,9
2011-02-02,71,7,47,0,1
2011-02-23,82,25,63,0,2
2011-01-07,70,17,42,1,5
2011-02-27,74,17,73,0,1
2011-01-21,67,6,5,0,2
2011-02-04,67,23,49,1,3
2011-01-08,70,1,11,0,5
2011-02-04,76,35,14,0,1
2011-01-15,119,6,48,1,8
2011-02-07,154,20,97,0,2
2011-02-19,72,2,22,0,5
2011-02-09,61,28,31,0,1
2011-02-05,71,25,29,0,3
2011-01-15,73,23,91,0,2
2011-02-06,71,1,69,0,3
2011-02-27,64,20,29,0,8
2011-01-17,79,17,17,3,2
2011-01-07,92,35,61,0,1
2011-01-03,106,18,77,2,3
2011-01-26,74,34,32,2,2
2011-01-07,72,7,77,0,1
2011-01-14,63,17,20,0,3
2011-02-20,69,9,89,0,1
2011-01-01,74,27,28,0,1
2011-01-10,109,5,36,3,1
2011-01-27,161,29,1,0,1
2011-02-07,66,2,95,0,3
2011-01-25,69,9,67,1,4
2011-02-11,69,21,86,0,2
2011-01-19,76,8,44,0,3
2011-02-04,112,28,30,0,2
2011-02-09,69,3,92,0,1
2011-02-20,65,18,90,0,7
2011-02-04,80,15,62,0,1
2011-01-08,156,6,86,0,9
2011-02-02,71,29,70,0,1
2011-02-07,62,19,73,0,1
2011-01-10,88,4,83,0,1
2011-01-26,63,27,52,0,7
2011-02-01,112,7,42,0,9
2011-01-28,68,19,53,3,3
2011-01-11,106,18,95,0,2
2011-02-03,74,32,39,0,3
2011-02-04,126,6,62,0,2
2011-02-14,100,1,7,0,1
2011-01-24,171,0,21,0,1
2011-02-23,72,25,76,0,3
2011-02-12,79,14,28,0,1
2011-01-05,90,22,2,0,1
2011-02-14,64,2,68,0,1
2011-02-02,62,29,27,0,1
2011-01-23,115,29,79,1,2
2011-01-05,116,32,81,0,1
2011-02-24,104,15,23,0,2
2011-01-10,72,29,54,4,1
2011-02-13,85,2,20,0,3
2011-01-20,105,18,50,0,1
2011-02-05,68,8,61,0,2
2011-01-07,69,1,81,0,3
2011-02-27,63,13,71,0,5
2011-01-08,98,9,50,0,2
2011-01-06,65,5,19,1,1
2011-02-03,111,4,47,0,3
2011-01-20,96,13,98,0,6
2011-02-23,67,20,37,0,1
2011-01-26,114,15,67,0,8
2011-02-01,116,23,21,0,2
2011-02-14,73,8,78,0,1
2011-01-13,69,1,78,0,9
2011-01-24,136,0,25,0,1
2011-01-17,87,9,75,0,2
2011-01-15,67,12,67,5,7
2011-02-18,244,29,22,0,2
2011-01-06,123,4,43,1,2
2011-01-14,61,22,45,0,3
2011-02-06,113,15,6,0,2
2011-01-14,109,10,59,0,2
2011-01-24,183,6,16,0,2
2011-01-26,176,25,29,0,5
2011-01-15,73,21,80,0,6
2011-01-22,69,6,97,0,4
2011-02-09,62,5,31,0,1
2011-02-16,86,21,76,0,6
2011-02-26,112,7,34,1,1
2011-01-24,67,13,43,1,9
2011-01-28,74,34,51,0,4
2011-02-03,183,24,63,0,1
2011-01-27,114,9,38,0,1
2011-02-04,127,3,93,0,3
2011-02-22,62,20,80,1,2
2011-01-19,136,14,69,1,8
2011-01-05,71,10,61,0,3
2011-02-03,112,4,49,0,1
2011-01-18,230,28,63,0,2
2011-01-09,129,31,5,0,3
2011-02-03,66,27,1,0,2
2011-02-18,133,35,90,0,1
2011-01-08,177,35,90,0,7
2011-02-07,63,35,59,3,3
2011-01-22,72,28,43,0,1
2011-01-03,110,6,74,0,1
2011-01-20,124,3,70,2,6
2011-02-03,130,12,15,0,1
2011-02-07,196,0,73,2,1
2011-02-09,74,1,6,1,1
2011-02-26,79,22,75,0,2
2011-02-14,113,3,43,0,3
2011-01-02,76,18,63,0,3
2011-01-03,113,1,22,1,1
2011-02-27,74,1,62,0,7
2011-01-15,132,9,85,0,6
2011-01-02,73,9,14,0,2
2011-01-31,131,4,40,4,9
2011-01-16,64,30,80,0,6
2011-02-18,88,30,19,0,4
2011-01-02,105,6,2,0,3
2011-01-20,78,13,32,0,1
2011-01-27,114,19,69,0,1
2011-01-26,100,4,6,0,1
2011-02-15,117,15,93,0,6
2011-01-07,73,24,57,0,4
2011-01-10,91,14,68,0,1
2011-02-20,63,30,57,0,6
2011-01-18,74,25,34,0,1
2011-01-24,86,5,55,0,1
2011-01-08,138,15,35,0,4
2011-02-09,65,32,52,0,2
2011-02-16,90,27,37,0,2
2011-01-10,65,1,47,1,3
2011-02-28,113,10,15,1,9
2011-01-22,68,3,4,0,1
2011-01-05,100,24,53,0,4
2011-01-21,70,4,41,0,1
2011-01-24,76,24,32,1,2
2011-01-14,61,25,70,0,1
2011-01-19,92,20,50,0,1
2011-01-31,68,9,8,0,5
2011-02-16,131,4,67,0,9
2011-01-12,65,27,36,2,1
2011-01-06,70,27,22,0,1
2011-01-23,111,32,13,0,3
2011-02-18,114,12,43,0,1
2011-02-07,83,35,87,0,8
2011-02-26,70,16,33,0,2
2011-01-05,74,7,93,0,2
2011-02-10,80,20,36,0,8
2011-01-12,95,14,64,0,2
2011-01-01,64,12,24,0,1
2011-01-31,66,25,3,0,2
2011-02-14,65,15,58,0,1
2011-02-24,67,0,13,0,9
2011-02-01,65,2,37,0,4
2011-01-06,86,1,27,2,9
2011-01-27,84,31,25,0,3
2011-01-07,88,13,20,0,1
2011-01-31,92,3,28,0,4
2011-02-25,69,15,21,0,3
2011-01-03,68,6,83,0,1
2011-02-27,62,6,88,0,5
2011-01-19,74,5,51,0,2
2011-01-31,110,0,87,0,1
2011-01-21,86,12,89,1,2
2011-02-14,73,19,57,0,9
2011-02-18,117,34,23,0,1
2011-02-08,276,33,91,0,1
2011-01-30,70,20,81,0,1
2011-01-28,96,20,61,1,1
2011-01-24,106,23,90,0,2
2011-02-17,94,9,48,0,1
2011-02-04,66,2,75,0,2
2011-01-20,111,6,24,2,1
2011-02-03,64,23,19,0,2
2011-02-06,103,33,90,0,4
2011-01-22,66,31,70,0,1
2011-02-22,102,14,79,2,4
2011-01-29,72,28,93,0,2
2011-01-13,81,23,51,0,5
2011-02-13,66,17,18,0,1
2011-02-10,253,15,59,0,1
2011-01-26,139,3,31,0,5
2011-02-07,137,0,86,3,2
2011-01-07,113,34,5,0,8
2011-01-18,110,20,66,0,7
2011-02-22,67,2,49,1,3
2011-01-16,80,17,23,0,1
2011-01-01,113,33,93,0,1
2011-02-10,72,1,77,0,2
2011-01-09,180,24,66,0,1
2011-02-02,130,12,50,0,2
2011-02-26,74,23,0,0,8
2011-02-01,203,20,66,0,2
2011-02-14,86,19,93,3,5
2011-02-25,69,16,45,0,6
2011-02-17,68,2,10,1,9
2011-02-08,63,18,15,0,2
2011-02-25,66,6,27,0,1
2011-02-11,102,10,65,0,1
2011-01-03,69,2,70,1,1
2011-01-04,68,7,15,0,7
2011-01-27,95,13,20,0,5
2011-01-27,76,19,83,0,4
2011-02-13,98,1,15,0,2
2011-01-08,88,30,19,0,6
2011-02-26,111,5,71,0,1
2011-02-01,104,28,23,2,6
2011-01-16,86,34,80,0,5
2011-02-28,73,9,94,0,2
2011-02-06,118,33,1,0,9
2011-02-02,73,3,79,0,6
2011-01-06,192,24,92,0,2
2011-02-11,106,11,92,0,1
2011-01-13,127,19,40,0,2
2011-02-25,113,5,56,0,1
2011-02-06,74,35,59,0,1
2011-02-05,102,3,46,0,3
2011-01-19,99,9,85,0,5
2011-01-25,65,19,51,2,4
2011-01-17,72,5,85,0,4
2011-02-27,115,7,31,0,4
2011-02-14,129,21,59,0,3
2011-01-17,107,28,23,1,1
2011-02-15,115,12,45,1,1
2011-01-19,94,34,59,4,1
2011-02-07,73,33,58,0,9
2011-01-27,64,32,41,1,8
2011-01-09,85,25,75,3,1
2011-02-08,108,11,66,0,3
2011-02-06,161,3,71,1,9
2011-01-05,109,28,52,3,2
2011-01-01,61,17,71,3,2
2011-02-28,147,3,87,1,1
2011-02-09,90,2,7,0,1
2011-01-27,87,33,39,0,1
2011-01-06,101,19,16,0,1
2011-01-19,154,33,24,0,1
2011-01-15,165,16,43,0,3
2011-01-14,107,2,74,0,3
2011-02-12,64,34,44,0,1
2011-01-23,63,32,19,0,2
2011-01-21,67,25,16,0,3
2011-01-24,88,12,54,0,6
2011-02-25,69,12,68,0,1
2011-01-03,73,21,87,0,4
2011-02-01,67,9,40,0,2
2011-02-04,110,8,80,2,3
2011-01-22,65,16,78,0,1
2011-02-19,99,22,46,1,7
2011-01-14,103,14,88,0,4
2011-02-10,62,12,27,0,3
2011-02-22,198,18,55,1,1
2011-01-05,62,25,12,1,2
2011-02-27,88,22,72,3,5
2011-01-24,119,9,8,0,3
2011-01-13,69,1,78,0,9
2011-01-03,118,32,84,0,3
2011-02-17,62,19,18,1,1
2011-01-02,65,1,36,1,3
2011-02-25,135,23,98,0,1
2011-02-21,112,3,51,2,1
2011-02-24,96,31,34,0,1
2011-02-27,70,0,46,1,1
2011-02-10,111,4,85,0,1
2011-02-02,106,11,15,0,6
2011-01-29,62,30,77,0,1
2011-01-29,73,11,51,0,1
2011-02-26,109,16,70,1,1
2011-01-08,118,15,77,0,4
2011-02-05,63,5,90,0,3
2011-02-13,62,6,4,0,2
2011-02-25,61,20,9,0,1
2011-02-05,74,11,14,0,2
2011-02-14,108,8,55,0,2
2011-01-23,69,33,67,0,7
2011-01-01,66,7,43,1,5
2011-02-20,110,6,37,0,6
2011-01-29,125,0,73,0,2
2011-02-20,113,1,88,0,2
2011-02-07,193,4,40,1,1
2011-02-22,74,22,69,0,3
2011-01-02,100,23,19,1,3
2011-01-05,81,12,9,0,3
2011-01-07,69,28,28,3,2
2011-01-02,65,8,23,0,1
2011-01-17,116,15,35,0,1
2011-01-21,118,1,59,0,2
2011-02-22,108,2,72,0,7
2011-02-04,65,25,14,0,7
2011-02-07,67,18,73,0,8
2011-01-20,62,26,81,0,1
2011-02-22,72,20,90,0,9
2011-01-01,68,30,10,0,3
2011-02-14,66,1,56,0,1
2011-01-28,88,11,98,0,2
2011-01-22,89,17,56,0,1
2011-01-30,128,16,38,0,2
2011-01-18,84,25,31,2,5
2011-02-22,88,6,47,0,2
2011-01-03,73,3,25,0,5
2011-01-10,74,0,52,0,2
2011-01-28,62,15,7,0,2
2011-02-20,95,12,17,1,6
2011-01-05,271,20,40,0,1
2011-02-28,71,6,97,1,1
2011-02-18,103,5,7,2,1
2011-01-07,188,34,54,3,2
2011-02-04,67,19,91,0,1
2011-02-24,68,4,85,0,1
2011-02-26,89,24,21,0,3
2011-02-13,68,18,30,0,1
2011-02-13,67,8,10,0,1
2011-02-27,103,6,28,0,2
2011-02-06,73,21,42,0,1
2011-01-29,63,2,79,0,2
2011-01-19,102,18,32,5,1
2011-01-03,107,17,74,0,6
2011-01-16,97,0,10,0,2
2011-02-27,112,1,4,1,2
2011-01-24,131,6,52,0,6
2011-02-22,111,4,40,0,9
2011-01-09,69,20,65,0,2
2011-01-27,95,13,20,0,5
2011-01-06,83,32,26,1,5
2011-02-28,78,27,10,0,8
2011-01-09,73,26,84,0,3
2011-02-09,107,24,99,0,2
2011-01-16,137,7,42,0,3
2011-01-14,86,25,18,0,1
2011-02-26,62,27,53,0,2
2011-01-31,72,9,71,0,3
2011-01-24,67,30,63,0,1
2011-01-20,78,10,63,0,1
2011-01-01,72,4,11,1,7
2011-01-08,103,5,5,0,1
2011-02-03,72,18,11,0,1
2011-01-02,68,2,28,1,4
2011-01-06,64,5,52,0,6
2011-01-15,128,5,76,0,8
2011-01-29,68,1,88,1,1
2011-02-14,68,11,58,0,2
2011-01-02,112,26,37,0,9
2011-01-02,95,15,90,0,1
2011-02-22,118,26,6,3,3
2011-01-15,70,18,47,0,1
2011-02-14,70,25,48,0,9
2011-02-18,65,11,34,0,1
2011-01-12,92,27,26,0,3
2011-01-16,66,25,0,2,2
2011-01-23,76,19,7,0,3
2011-01-07,74,30,82,4,1
2011-01-04,126,19,11,0,2
2011-01-03,125,11,73,1,3
2011-01-19,100,4,22,1,2
2011-01-28,72,16,76,0,3
2011-01-24,110,11,71,3,7
2011-01-08,112,31,46,0,1
2011-02-23,87,11,10,0,9
2011-01-16,71,35,62,0,2
2011-01-23,94,30,0,1,7
2011-01-31,71,2,20,0,2
2011-01-16,66,22,32,1,2
2011-02-14,64,2,68,0,1
2011-01-12,64,11,85,0,1
2011-01-28,103,14,79,0,1
2011-02-27,103,6,28,0,2
2011-01-02,68,7,31,0,7
2011-01-02,93,30,70,0,6
2011-01-20,89,32,59,0,2
2011-01-29,103,20,41,0,1
2011-01-11,90,20,93,0,2
2011-01-09,63,5,99,0,2
2011-02-22,66,16,35,4,1
2011-01-15,61,24,35,0,1
2011-02-12,118,27,86,0,2
2011-01-21,118,32,9,0,8
2011-02-27,101,10,22,0,2
2011-02-04,79,18,56,0,1
2011-01-17,106,1,49,0,1
2011-01-10,103,28,43,0,1
2011-02-19,70,18,57,0,4
2011-01-03,65,9,31,0,2
2011-01-26,113,5,63,0,1
2011-02-28,142,5,87,0,1
2011-01-13,137,25,45,0,1
2011-01-31,107,16,3,1,2
2011-02-16,74,8,43,0,1
2011-01-08,61,6,30,0,1
2011-02-03,128,11,54,2,9
2011-02-11,136,3,32,0,1
2011-01-10,139,18,14,0,1
2011-02-23,71,29,21,0,1
2011-01-10,108,0,48,0,6
2011-01-26,71,13,3,0,2
2011-02-06,73,17,37,0,2
2011-01-20,61,33,61,0,1
2011-02-03,61,34,11,2,3
2011-02-13,114,24,63,4,6
2011-01-17,67,7,19,0,2
2011-02-09,97,4,46,0,3
2011-01-02,131,2,54,0,6
2011-02-26,99,2,21,0,2
2011-02-13,110,7,16,0,7
2011-02-22,82,4,77,1,3
2011-02-26,66,0,4,0,2
2011-02-12,88,25,5,0,8
2011-01-21,114,24,10,3,9
2011-02-05,110,0,25,0,3
2011-02-18,81,7,35,0,2
2011-01-17,66,0,10,0,9
2011-02-13,64,5,78,1,2
2011-02-03,130,0,93,0,1
2011-01-01,71,33,83,0,3
2011-02-19,100,13,51,0,3
2011-02-25,72,27,7,0,1
2011-02-19,96,25,17,0,2
2011-02-16,63,23,94,0,2
2011-02-13,73,12,71,0,4
2011-01-03,69,2,70,1,1
2011-02-19,112,19,12,4,2
2011-01-22,92,31,63,0,2
2011-01-23,114,30,1,0,2
2011-02-12,115,22,73,0,2
2011-02-02,71,29,70,0,1
2011-02-24,89,15,45,0,5
2011-01-05,271,20,40,0,1
2011-02-24,73,4,7,0,3
2011-02-26,206,14,44,0,3
2011-01-17,66,8,3,0,3
2011-01-22,87,16,41,1,2
2011-01-07,196,30,81,0,1
2011-01-18,104,1,48,3,7
2011-01-07,99,8,89,1,3
2011-02-07,63,0,75,0,1
2011-01-07,88,13,81,1,2
2011-01-18,66,20,31,0,6
2011-01-07,132,18,49,0,2
2011-01-01,102,16,1,0,2
2011-02-13,65,7,28,0,1
2011-02-10,65,14,62,0,2
2011-01-10,82,33,39,0,2
2011-01-28,103,14,79,0,1
2011-01-23,61,24,95,2,3
2011-02-28,114,23,6,0,1
2011-01-06,118,6,50,0,2
2011-01-20,193,6,79,0,1
2011-02-14,65,15,58,0,1
2011-01-31,133,4,62,2,1
2011-01-13,89,31,10,0,2
2011-01-13,95,28,61,3,2
2011-01-16,109,1,6,1,1
2011-02-16,119,0,37,0,1
2011-01-11,107,3,65,0,3
2011-02-28,105,3,92,0,1
2011-01-24,135,8,14,0,1
2011-02-04,71,10,79,1,2
2011-01-14,71,1,23,0,2
2011-02-17,85,21,32,0,2
2011-01-23,64,31,53,0,1
2011-02-14,74,22,94,3,2
2011-02-20,72,4,61,0,1
2011-01-21,62,13,76,0,1
2011-01-19,154,33,24,0,1
2011-02-24,70,19,30,0,2
2011-02-14,63,7,30,2,2
2011-01-27,61,2,92,0,1
2011-02-06,67,16,90,0,1
2011-02-22,70,26,7,0,2
2011-01-31,70,24,10,0,1
2011-01-13,65,13,1,0,3
2011-01-27,68,19,2,3,2
2011-01-28,74,3,73,0,1
2011-01-02,108,3,44,0,3
2011-01-07,62,14,88,0,2
2011-01-11,112,5,86,0,1
2011-01-05,61,7,38,0,1
2011-02-17,65,6,45,0,2
2011-02-21,80,3,11,0,1
2011-02-16,101,18,39,0,2
2011-01-21,63,11,2,0,1
2011-02-28,182,3,56,0,2
2011-02-12,109,10,38,0,9
2011-02-19,83,13,19,1,1
2011-02-13,67,4,25,0,9
2011-02-21,97,15,30,4,1
2011-01-02,115,7,64,0,2
2011-02-02,72,3,56,0,3
