customer_lifetime_value,income,total_claim_amount
5670.442396,28406,192.87572
4731.749346,69833,828.662719
8026.379641,0,532.8
4022.963529,0,975.107098
9618.310865,80536,53.798708
2274.775451,0,606.642452
9552.926922,97732,289.9122
10388.55323,61222,392.604371
2470.121222,0,721.242206
5619.068508,50335,456.52385
9047.119209,0,1087.995426
6692.143668,63221,806.4
3731.504584,0,460.8
3660.770258,64495,251.992083
7928.829252,0,345.6
5011.751577,28859,321.6
7988.258292,77330,99.257608
3885.456401,0,504.0
2659.337982,24495,336.0
8564.768226,95697,178.006524
4885.162511,26372,604.8
9753.307106,17514,8.312729
2946.153697,89270,316.599228
2581.110945,29757,312.0
3517.385764,51814,56.300724
9743.350113,24028,393.6
3873.647046,28142,701.708239
7649.28199,52705,128.705563
2287.59692,0,679.368378
4475.424592,84903,497.126827
8714.922135,0,566.4
2248.449633,24910,347.857619
7416.197322,0,554.4
7771.158973,21876,465.41477
6968.3419,0,496.8
4250.282624,0,292.8
19776.56654,70699,256.813837
21343.46599,0,355.2
2413.139714,27501,542.319401
15363.84716,15897,303.148399
8456.961887,25141,25.438063
2189.642522,0,292.8
5780.182197,51066,787.993313
4639.981638,28358,84.024413
4465.335703,61846,215.8182
5968.118877,90972,232.926145
5097.763337,0,532.8
4076.634665,29549,710.433775
12252.60179,0,552.0
16936.27147,39411,1122.658899
4892.435461,21709,408.374746
9942.304791,67890,408.0
3735.838129,0,792.0
13117.52215,84311,532.8
4574.524094,99316,754.358929
5470.060561,54507,702.990032
2978.84601,64586,206.837111
6410.967544,61709,275.395894
4479.023088,94656,459.738128
2383.731879,0,496.8
2764.493659,61085,336.0
7920.105377,89284,321.6
6889.097981,0,302.4
3274.194616,31686,430.994107
9951.707743,56855,1836.0
2521.555686,53703,67.632476
23706.11337,0,844.481918
6047.02516,20396,364.8
11140.30248,27679,722.486994
4334.064096,23904,590.4
2799.74791,65351,481.027516
7923.136624,0,1124.427734
3688.110888,0,669.682001
12067.45599,0,1284.093173
2924.976721,64459,240.259479
15014.0927,32961,912.0
9277.233839,71416,556.8
6274.123875,68964,115.086827
3886.647414,78108,470.4
4386.277558,10621,321.6
11365.26766,84910,383.167471
5610.96434,77493,307.963291
2912.892035,81097,355.2
6915.729915,96610,520.364752
6262.663307,30110,466.436375
6503.397049,22081,451.670309
8007.399376,0,537.6
2929.916512,98473,345.6
5969.55297,97431,355.2
5473.15987,93870,331.2
5645.396665,50366,428.734656
6369.262355,34498,398.4
11833.76732,16552,494.4
6121.107929,26787,369.6
5159.369746,0,831.752839
2514.59196,43860,156.124914
8668.611261,21474,373.428187
4960.965384,18174,395.934815
5504.139033,0,350.4
7507.455372,60920,231.201886
32269.85139,41520,289.904105
5657.031588,0,729.6
5061.757902,0,326.4
5912.783829,72208,350.4
15182.27975,53863,105.765111
10747.03094,66446,639.464548
2050.623512,0,292.8
2465.444865,64997,383.442328
5343.121327,64460,316.8
8119.829071,46618,99.085943
4605.265164,0,307.2
6408.785577,49988,566.935022
2376.533508,0,436.8
3211.070017,16269,412.8
5094.522262,72006,307.2
25755.27817,0,388.8
8672.229719,0,2345.413441
8044.73072,44320,321.6
4001.519098,19782,773.470977
16706.11699,63933,424.883448
8544.411077,28224,523.2
7805.31287,21073,508.8
6112.756868,63243,364.240307
4772.943848,20993,638.4
10979.09559,94827,354.729129
5004.263818,39161,283.995953
13223.04379,37534,403.2
2623.31543,80210,20.543176
17840.19555,0,385.115437
5106.111827,30110,140.165035
17930.60451,21708,326.4
5457.342569,94731,321.6
6563.644143,32375,398.4
4812.525221,16531,102.879769
29328.04185,32006,56.868289
5773.520711,81676,463.158502
6847.1189,71038,205.444066
3595.31286,0,741.6
22855.61209,20832,56.371967
7859.414569,0,813.6
4115.577437,52405,494.4
5029.638777,0,795.864079
4821.418454,26583,614.4
5004.310469,25486,72.438681
8630.053943,24065,532.8
9322.08512,70435,67.881546
16727.56063,0,402.636829
3652.532435,39679,641.388616
6158.601171,0,342.481173
4376.083958,0,331.2
5569.456156,53565,340.8
2576.513006,37574,412.101933
8346.983233,48259,73.700573
6323.923864,78532,374.4
5973.14343,96163,350.4
4706.676993,0,345.6
8093.410258,0,722.024742
5035.744643,72672,259.361117
9027.867218,99002,537.6
7288.884849,79494,396.295614
18042.47942,35704,358.281562
4992.063043,0,653.388564
9102.267849,26049,121.032372
2540.407726,70125,92.813396
12941.89193,52369,528.0
2365.348601,0,159.636956
5720.765064,41770,476.156957
7035.534088,0,727.2
2636.97773,31911,321.6
5395.831967,70051,42.078345
8382.630118,19683,561.6
31161.74523,30916,200.11606
2887.742258,0,676.944023
8714.922135,0,566.4
25585.72783,0,830.623064
10272.6082,60145,580.473259
4376.363592,63774,60.036683
5318.89664,25134,321.6
4719.762191,37057,47.53101
4428.031583,58577,303.872752
5879.176092,85857,100.620067
9416.908485,70602,481.339891
8288.155579,33816,508.8
32654.8383,0,1101.6
4719.450052,89642,86.320022
3903.474784,60068,470.4
5457.259678,50044,667.2
2725.356404,36650,56.60333
4433.97368,50653,262.865172
5332.462694,68931,309.577946
2315.094985,0,350.4
5411.953687,0,365.364581
9587.33234,39266,384.0
22103.5072,0,489.6
9764.945308,0,705.6
2567.151468,40864,9.51528
2650.622781,39035,244.564334
11264.36334,34923,639.105556
2168.523464,0,453.6
8610.667489,0,532.8
2834.646235,24506,511.2
8930.139728,0,554.522969
5536.386959,52220,336.0
2840.85429,0,402.449823
8082.880956,53554,327.020539
5254.734278,34476,5.3953
5116.237577,0,131.401291
3034.646997,68205,99.382943
8024.89992,0,856.8
18211.14319,53690,739.2
5121.563312,0,518.4
2150.178588,0,292.8
5595.389905,74454,340.8
7562.824036,0,350.4
5385.853211,29664,340.8
4718.558501,15680,260.879903
9422.567923,47272,64.546877
3605.860265,21585,441.6
7762.590564,23827,37.910623
23444.90045,69906,202.860399
2558.178159,0,345.6
5123.170887,89879,94.030308
2537.744494,0,331.2
2969.593296,46131,355.2
4363.124641,54514,286.234931
5884.308607,0,1159.2
5272.191556,96668,316.8
5509.895664,78879,466.570791
16313.68349,0,331.2
5678.050167,0,364.8
12101.20884,0,1252.406235
2453.570794,29735,331.2
5075.66267,23082,312.0
3214.979402,53984,421.484456
12275.34309,52135,430.505942
2722.210707,17576,398.502948
2457.440923,29486,7.646763
3554.845264,58557,55.510526
4929.549699,25632,351.270869
8036.45034,0,806.4
4276.915328,18768,647.454583
33473.34946,33190,508.8
5960.581363,47945,128.43823
44795.46942,58778,302.033971
3832.118106,15192,480.0
6837.932624,51859,1003.160633
5285.26816,23422,518.4
3096.511217,21604,379.2
3589.710715,79298,244.362072
2582.408525,76731,201.455005
2487.729726,67282,297.6
13575.67599,48534,552.0
4685.504251,77678,741.418485
28685.82785,48412,707.430832
2764.032126,33837,305.575785
6183.111464,23712,376.126419
3873.647046,28142,701.708239
18929.3306,72196,152.184244
5553.295758,68197,176.819414
5011.259184,75248,104.454624
10442.44633,0,941.718054
2199.61781,0,468.0
8709.845263,41546,121.306839
7484.310483,46998,460.8
2613.023132,57099,67.859881
9080.639651,33897,539.843003
13770.97618,59207,556.8
2876.822941,40171,350.4
5548.031892,67798,331.2
5097.526248,21665,765.709629
24143.87556,0,626.4
3538.059456,0,321.6
29091.23936,34226,494.395024
19834.20115,65989,115.545086
4731.366975,30686,19.938981
35537.846,0,799.926741
34611.37896,20090,523.2
20216.30883,0,878.4
13976.51925,77094,444.470676
5904.088162,97413,268.819985
5595.835041,79189,331.2
2294.303629,0,297.6
6273.911874,18577,412.8
3726.727996,0,806.4
5285.118669,40783,321.6
5110.680779,0,532.8
7126.596501,17483,1317.6
4601.634099,84394,691.412378
9155.239699,0,804.811859
14808.05624,41440,297.6
8901.678357,0,1090.86434
5734.598243,98132,50.587035
4177.696973,0,537.6
27776.28906,88220,151.528482
10364.34749,58327,347.075948
7851.901368,25950,271.697529
4772.943848,20993,638.4
14226.50485,65726,849.6
4031.104947,0,639.45899
2794.907476,39783,345.6
4362.931238,58842,528.0
9624.524417,25629,595.2
5015.009472,48567,624.0
6948.422239,0,1337.063487
2896.918767,33746,355.2
21903.91364,22254,125.194389
9028.821403,65974,235.220971
5303.759534,0,395.34111
4165.354461,17161,542.4
5123.768112,0,772.798511
9492.342964,0,633.6
8204.863191,0,350.4
9877.295699,67752,168.517149
4815.009736,25398,307.2
6277.011679,0,633.6
8260.639809,33321,504.0
2549.450038,0,845.654042
4502.679656,68798,92.915251
3803.921781,20325,668.29397
8635.4035,13129,700.901632
5510.558964,0,525.6
3585.884123,49080,25.299
4889.25278,42536,375.330097
2756.941661,29926,418.233667
3289.547398,0,398.240791
10937.1785,21450,938.513425
7375.567916,33345,338.619869
10110.77818,15752,339.344531
5119.414293,40169,302.818833
8533.832013,26049,619.165344
2224.768,0,326.4
8042.803784,55411,259.561195
2554.437138,12459,336.0
18073.93999,64620,364.8
2430.506586,83140,179.161843
3167.658442,0,662.4
5465.603983,54422,75.501852
10357.51422,68309,306.983596
2537.813878,56621,84.026848
2821.947219,38977,139.489926
7757.128146,0,607.4459
4079.132667,0,631.124372
5955.544552,0,628.023494
14158.61364,83235,336.0
8487.238032,0,426.655599
6285.476868,32390,91.417923
11473.48149,66538,317.844812
2310.882998,0,460.8
23594.6802,76358,86.461582
2514.59196,43860,156.124914
5380.898636,55350,321.6
4770.550911,12964,362.774545
6756.651404,33288,221.856184
5936.011773,0,980.169081
3570.760509,56168,614.675906
6019.960469,0,662.4
5426.863953,23105,331.2
2730.313804,36218,145.252168
4982.681374,52275,374.240783
8769.266756,49665,355.2
4220.613534,32471,528.0
11537.50507,0,619.2
5887.182043,62773,80.669257
4700.583771,76694,561.6
10963.95723,55687,1324.8
2523.171245,0,504.0
3757.804716,36633,460.8
12941.73353,77060,468.566133
3764.465074,92600,842.43785
6889.557028,0,475.2
3623.454198,0,1171.93117
7582.113842,64801,268.471802
8277.74558,45257,494.4
2576.455597,26854,475.2
8205.387936,85840,138.722385
19582.46887,26463,345.6
6481.526576,30689,467.24802
2599.310879,29590,467.503236
9830.337629,25965,1214.4
10442.65139,17269,667.2
36057.53702,90330,192.085299
8470.036773,0,619.973889
8278.786492,0,1002.782553
4788.932598,0,321.6
3087.999917,18558,384.0
4443.736209,46384,251.774574
7984.086473,0,866.208321
7180.971028,42303,1210.920949
15656.03434,71731,599.648466
5780.182197,51066,787.993313
20714.94043,0,2027.724442
5337.352409,0,619.2
5050.826183,0,72.852047
5116.624022,26173,449.819671
7268.736958,24445,302.4
2616.613903,72302,316.8
3738.436222,27208,489.6
2725.356404,36650,56.60333
5453.861203,30855,259.060862
6846.150323,0,456.0
6172.914199,99960,364.8
10346.32454,0,470.4
6997.008618,55873,299.356083
4196.257691,18052,699.1679
7858.109763,28937,117.959654
6064.343994,0,545.240341
17497.52201,0,350.4
8970.647312,12829,328.231432
5923.117229,92163,66.568642
35850.59935,17588,1382.4
4331.460674,82302,722.178166
13309.33517,0,609.6
4528.50489,70340,542.4
2791.906514,0,532.8
8092.87696,50825,369.614729
7996.00748,93459,655.41333
5129.738992,86148,312.0
5697.175238,27048,345.6
9217.130629,73259,673.34265
10208.92761,35482,619.2
4170.687348,29462,513.6
4505.405812,67801,23.810491
3107.568648,0,451.2
5528.664986,16042,350.4
5045.866663,28056,307.2
2962.722482,16495,408.0
8665.956372,41163,231.922173
11413.44115,0,772.8
15488.43196,33799,664.980242
6048.574243,0,292.8
5934.741492,87747,46.492039
3543.232138,35695,432.0
3490.028304,90985,78.085149
3683.099864,0,564.466556
5989.773931,66839,739.2
12500.84302,0,792.0
8609.158215,79090,289.040734
2497.45507,24825,155.938593
7019.177186,26806,302.4
5387.926265,56835,326.549425
6165.557517,0,653.65668
2730.20294,46135,103.935601
5162.116944,0,809.532341
7937.064822,22862,321.6
8608.157233,21450,528.0
2632.545795,95854,312.0
7785.004214,44897,580.72531
8255.76385,54040,59.987126
4980.825042,53265,238.005074
7457.237794,0,1577.674417
12302.76244,43817,245.447622
6862.508337,54780,135.26125
9048.983447,0,571.2
5548.031892,67798,331.2
8312.681598,21442,566.4
2389.980951,27615,297.6
4458.113369,17622,312.0
5295.741716,50200,637.063458
3839.606117,0,537.6
3731.504584,0,460.8
2778.903705,73570,75.936096
4016.541995,0,799.2
8236.917193,0,603.058114
2491.317024,36631,67.530904
2908.875917,35895,312.921256
4282.947971,40864,166.937747
8341.623748,0,566.4
5090.781344,93018,135.382194
7366.1883,70014,17.742954
2436.875126,48875,1.838367
8852.688689,67969,197.776009
23875.47675,0,612.102262
5600.496541,68665,331.2
4636.54647,26802,316.8
7573.345057,0,1193.036154
14696.63549,45345,600.0
12298.6863,17101,542.4
7724.840065,32051,926.4
5946.670679,81139,392.6364
8000.545061,63834,215.226476
6457.560953,37548,160.598662
7281.44014,0,371.803029
2592.437797,72421,312.0
4678.423394,83102,443.670399
13869.92705,28432,612.300581
8717.777831,83707,290.391526
5233.986808,63259,316.795337
4764.189722,0,405.527937
2472.469209,63860,208.598246
5608.316348,67176,345.6
5505.057003,86132,301.437365
2606.208503,28519,456.473115
10481.94383,39102,152.338562
3256.766388,0,491.755368
30475.78048,97298,48.517439
6364.902164,41986,430.375049
9468.509337,0,633.6
5631.451866,17291,350.4
7780.999262,0,246.489123
9816.528302,37256,128.969729
7519.133631,96306,185.355353
10179.71704,14290,1300.8
2772.839235,37038,9.071305
4037.501846,90760,133.475315
21435.87782,20668,902.4
2676.867914,54480,321.6
2523.959554,16244,623.223617
6988.401604,22436,427.2
2695.963857,25544,326.4
2673.319593,28728,321.6
12157.32992,57449,494.4
2957.764017,83318,211.336937
7433.820995,55561,227.872071
3099.538005,0,862.762957
8415.684559,55308,513.6
26843.12452,36068,113.367765
13057.17071,48804,537.6
9599.950239,0,943.2
8535.108918,55790,117.672722
8293.481886,70258,225.145949
6846.150323,0,456.0
6636.859781,47274,182.432565
5802.83547,0,644.755653
5077.320916,0,525.6
12427.39371,15818,333.886816
10990.59477,44552,311.103582
3435.25008,64348,212.391975
6624.61183,0,297.6
5757.442258,88997,174.041566
2691.568951,77411,257.900458
2886.451602,10312,486.278557
5341.438779,0,345.6
4160.018087,96263,1.924709
2846.24535,28919,518.4
4770.256564,0,326.4
5059.616223,41869,262.12205
9095.744565,0,921.6
2688.863963,32808,541.695658
8277.637562,79780,326.4
9057.935331,91025,327.682669
3801.750407,33043,456.0
9339.341599,69442,1265.570302
2520.12318,0,63.043197
4984.095342,0,336.0
2595.747991,47234,15.631363
7437.693335,86863,441.6
14536.78759,25805,375.866091
5913.305869,43676,364.8
2771.663013,59855,355.2
29194.36639,35296,452.616872
9880.38582,36576,113.450122
15114.40241,28513,480.0
5759.91084,85448,16.03451
8495.164213,23791,615.27228
4381.184212,20597,615.256301
6997.827397,56940,512.66245
11430.58845,93210,74.523935
7482.486135,48992,426.072946
8596.916624,53736,169.287785
7854.960831,25378,419.464143
2582.408525,76731,201.455005
2275.363967,0,662.69318
4118.588554,69379,494.4
12157.32992,57449,494.4
5152.819636,0,326.4
6512.976472,0,669.6
27789.69235,33806,395.729716
4191.966092,77048,141.199465
10928.40709,74965,58.557552
7615.381271,34095,302.4
2004.350666,0,316.8
2434.681155,96045,8.582971
14195.36028,86355,285.418473
9427.684903,27824,566.4
11982.42085,42995,410.508316
3102.789546,21235,244.23135
4222.631209,74585,218.598065
4023.814439,41833,643.826716
5297.151805,23908,336.0
21423.63723,0,312.0
4416.206243,61953,497.047297
4639.035171,0,1022.4
4863.544585,0,657.6
25830.90982,73760,230.245772
2974.314896,23333,5.622751
2064.458781,0,292.8
10064.60828,20440,614.4
5500.01251,86073,333.5671
5489.214062,50943,667.2
2612.756658,19003,34.651305
8573.463947,46703,678.100487
24127.50402,14072,511.2
8550.386579,21733,525.6
2308.648034,20811,292.8
4254.620669,11904,292.8
8982.850377,43490,174.588413
7868.165983,57340,159.391681
7704.248723,49088,698.4
10552.16999,47761,232.711071
11681.37428,70930,190.43446
8737.837514,61281,79.865605
5454.890731,0,393.6
7705.283329,25290,382.085897
7039.262387,24239,48.348319
8838.085637,82664,133.425609
8733.527338,83210,528.0
9597.474777,38736,561.414794
4506.660224,0,316.8
17857.97233,55437,445.287788
4737.871725,0,23.820158
5426.136238,0,407.99684
7998.143771,29066,844.229478
2897.620704,54337,345.6
11599.50219,67616,340.306584
15147.93055,41082,106.647493
5435.767832,0,626.116259
2725.356404,36650,56.60333
13297.71225,50631,784.65781
9927.049694,19592,441.6
17771.54902,0,547.2
18269.27017,55761,86.27772
2722.210707,17576,398.502948
7083.212357,41449,63.516572
10179.71704,14290,1300.8
5889.509098,62007,120.015609
15771.39342,21921,1254.137899
5288.173294,42621,316.8
27580.55396,0,417.6
7778.532347,63786,798.002689
7341.861257,0,82.041684
7919.197048,82877,22.819088
2163.870179,0,302.4
9787.808819,10475,422.4
5207.640754,21952,316.8
21147.27716,49721,639.971388
12280.76661,88340,489.6
2441.394244,0,312.0
6535.560574,0,468.0
9206.598256,24589,511.497882
4118.588554,69379,494.4
4838.208972,73769,239.540223
4625.548098,66670,518.180364
14042.103,88854,715.252366
7546.613549,31266,926.4
2514.59196,43860,156.124914
5170.358435,89284,402.070719
13917.37715,67267,94.814032
11318.13083,79270,456.0
4276.363627,36692,523.2
4322.240343,0,571.2
8002.308333,0,513.6
3885.456401,0,504.0
4471.778239,0,972.0
8496.352846,44624,73.883044
22500.88348,0,340.8
16301.9676,19614,574.024018
2319.735908,0,632.715382
8717.049833,83846,355.2
2860.111745,51159,4.238626
2453.408288,83772,42.248087
5989.773931,66839,739.2
24980.22553,88440,27.145151
7482.639506,25666,270.002766
2457.576007,52926,292.8
2379.741171,0,494.946438
8286.964421,40001,142.567008
2393.915369,0,425.266308
4657.159469,18024,312.0
13197.92893,0,326.4
2803.916726,23220,251.334247
8646.504109,64125,369.818708
7425.870642,58042,161.419528
4528.737362,90034,537.6
2227.072755,27972,292.8
7292.948758,0,312.0
3184.355246,50989,255.999709
11315.20373,11885,484.8
2530.705137,89451,61.769564
18361.55525,0,1310.4
8641.530036,78904,250.001424
3278.53188,70247,141.799422
5271.982116,32653,321.6
3763.637743,93595,49.797016
13955.56961,90279,372.175592
5001.527484,0,542.14385
7082.830426,53310,1360.8
7619.482766,0,504.0
12550.88198,22234,768.0
32196.60037,91375,72.632934
6793.77405,22250,720.601429
5272.319663,0,576.0
6265.343299,0,481.025786
8547.586142,51179,466.176731
2787.423683,38667,159.266473
4626.801093,79487,547.2
8663.363959,67763,41.283167
3872.222217,0,503.808329
5170.811494,0,859.599411
8960.280213,71943,305.653785
5471.83429,53526,278.902846
34931.00171,35005,1416.0
2620.392335,24721,139.963594
19069.49954,0,734.4
5757.442258,88997,174.041566
40224.01359,48587,532.8
2701.488341,76310,321.6
3712.430479,73205,37.299865
21850.84002,51056,95.816516
7840.165778,58414,1008.0
8237.037945,23940,513.6
2243.473907,0,446.4
8434.464067,44216,72.205362
2227.072755,27972,292.8
5170.025981,0,331.2
2641.446062,29305,475.2
2790.682957,53882,331.2
2745.129849,91757,331.2
7579.532717,33906,401.592109
10978.78028,68158,253.183568
8255.060054,0,643.2
4747.734642,42165,799.673766
3540.90425,0,727.2
3436.134281,30817,91.834668
2582.185301,68074,27.987867
44771.29936,0,842.391832
7396.283653,71135,270.563995
4330.799785,0,292.8
9075.768214,37722,158.077504
14635.45158,0,667.2
5609.082494,44705,148.173152
11565.68747,64642,404.265696
2771.045031,50071,18.918935
8507.128824,46754,513.818403
7582.113842,64801,268.471802
3323.092454,70410,131.828507
5234.331741,66957,628.8
24709.59957,24213,374.4
3123.080994,0,960.115399
2551.226692,79751,392.235698
7247.713672,86122,873.6
4538.847818,82297,0.382107
2687.314108,82210,51.961915
8730.421977,43259,350.4
8332.730557,0,379.2
2357.747015,25064,297.6
4637.164036,25816,571.2
5357.192698,0,350.853987
5391.970996,41662,217.973168
3694.140498,96170,441.6
5040.412436,46072,25.934064
27495.42188,37931,475.2
4842.284965,35127,297.6
2678.058299,72450,84.218363
5227.101938,93087,628.8
2590.096027,22398,321.6
10536.07798,92983,153.205591
8581.278701,27689,2893.239678
9463.113263,69654,629.532731
13441.00637,80744,361.284757
3886.504807,0,1185.988301
6784.89369,0,460.8
23594.6802,76358,86.461582
2538.62632,18608,340.8
5639.941974,73168,425.800112
2459.171724,21190,312.0
2667.270014,94041,159.756733
13778.36933,91474,24.087774
4923.18169,61469,302.4
2272.335352,16618,219.288706
14895.39798,48081,881.360959
9756.044954,67632,26.951627
9422.974113,34115,466.122541
3837.357574,23051,475.2
10952.13189,23748,607.095655
8159.136579,40589,331.2
19480.49981,50809,290.381707
3919.366722,66676,558.099357
7985.14214,52339,336.0
12168.74492,14973,828.0
5849.321498,0,540.514115
5085.836595,31546,100.049832
2903.939763,67763,59.861963
31162.6933,83170,344.118069
3086.873854,19464,871.505797
5178.704151,66943,53.084753
14024.35839,81872,256.43803
10640.93932,50450,135.892444
4949.803822,21342,74.350893
8595.665294,34621,621.464468
22951.892,62396,307.2
3792.13031,97212,360.05589
2755.747968,49648,65.954813
4880.339614,97984,407.450118
9051.905275,26308,547.2
10115.44622,63528,1228.8
8269.075366,20225,547.2
8071.65295,0,806.4
7726.993623,87620,24.063693
8311.1359,0,311.329282
2574.020376,34990,42.689135
5727.327124,99934,460.323855
5441.42013,85702,249.085887
2744.519593,94648,331.2
5636.740347,24516,300.607591
16870.3882,61063,262.504882
2738.001957,0,263.365432
4644.700497,0,307.2
4746.686506,15169,302.4
16874.32815,55390,256.268091
2387.60606,27592,297.6
2504.907557,88264,297.6
4591.625938,83297,542.4
13092.58578,0,1353.6
9112.266649,0,432.0
4165.166581,55897,499.2
2659.980563,21297,45.507952
11986.59212,87560,470.4
2898.732747,0,691.2
2894.243869,0,408.0
3500.454354,89398,82.409922
2621.808611,36843,357.642982
10221.80504,0,643.2
2578.270957,34946,420.35698
6242.595729,75680,136.787725
5220.280968,0,331.2
9075.768214,37722,158.077504
4525.365839,10269,170.798204
4970.357298,49714,266.165535
15467.78904,77517,98.921782
5838.89915,81082,281.295903
10656.88195,72540,631.743039
2289.618736,0,468.0
5439.804227,61546,29.209521
7956.150059,44818,136.883999
4458.113369,17622,312.0
2555.051532,0,518.4
3307.99904,79797,31.755601
5041.29961,36234,113.534474
13350.1209,28919,830.4
4931.221348,0,480.159011
7776.835189,63568,390.792553
2553.672212,73935,72.071195
4876.469668,0,316.8
9034.305834,18846,552.0
8105.910755,38893,41.965252
5619.689084,0,1027.000029
15727.13063,84824,319.820747
6618.016423,20068,411.011162
4670.047979,0,600.0
10169.36981,0,648.0
8323.073985,97245,4.110585
2417.759961,51808,351.149904
8044.872393,71391,284.000172
5325.724541,0,496.474767
6947.524013,0,925.137143
5847.415237,23496,13.164097
2584.203924,22562,312.0
4724.786102,23986,463.335061
2790.227993,22974,180.667969
21531.33284,0,484.8
12622.83268,61844,508.8
20171.96154,24804,350.4
16464.36587,27760,302.764283
5595.389905,74454,340.8
4170.687348,29462,513.6
2665.447079,52266,141.922839
7098.91414,0,349.783046
3971.345097,23599,494.4
5528.212807,36088,345.6
8338.995787,70534,54.065538
38445.85587,27398,600.0
5448.555219,85296,342.515136
10808.06597,31063,441.6
6185.09653,0,1027.177255
3208.225911,52367,275.989978
5480.104065,58651,472.599683
22986.15393,84831,1336.931716
13107.92594,49088,547.2
7462.926263,70263,7.345946
11463.99097,45354,540.141566
7236.132483,0,383.363758
6232.687923,28334,537.765151
28393.32994,38772,321.873474
3746.751625,41479,19.575683
21569.33731,23909,571.2
5012.083744,48328,108.138715
3371.858433,86689,408.0
3864.776795,24204,707.303416
4145.711862,25943,1067.333126
5156.072651,0,807.947292
3667.37497,62375,618.630955
7835.683513,0,404.272806
14567.26841,0,710.4
10171.33903,70200,312.0
4135.775206,0,707.977614
5511.491102,79027,336.0
2429.280527,26736,367.92773
5414.61734,26893,68.226001
7421.593541,47406,287.149807
4458.113369,17622,312.0
14476.12489,27572,595.2
4936.888359,0,391.636628
4525.276524,32802,547.2
6701.770088,18400,640.8
14134.3474,90844,232.674417
24723.18311,44685,331.2
2838.067784,0,336.50961
3848.483648,42589,470.4
19504.4739,0,345.6
26900.27013,63009,485.286815
4361.372941,79583,523.2
2529.077508,89129,328.870868
